# === PPO_STATS_BEGIN ===
total_completed=278
best_reward=127.243046
best_reward_ts=2025-12-23 17:12:27
best_reward_run=2025-12-23 16:07:56
best_reward_ep=(116/10000)
best_survival=39.180
best_survival_ts=2025-12-23 17:01:50
best_survival_run=2025-12-23 16:07:56
best_survival_ep=(98/10000)
# === PPO_STATS_END ===

========
[RUN] 2025-12-23 15:21:32  episodes=1
[STATS] total_completed=0 | best_reward=N/A | best_survival=N/A
idx	reward	survival_sec	note
(1/1)	60.100000	18.594	

========
[RUN] 2025-12-23 15:25:41  episodes=10000
[STATS] total_completed=1 | best_reward=60.100 | best_survival=18.59s
idx	reward	survival_sec	note
(1/10000)	120.829462	36.446	
(2/10000)	67.015233	20.976	
(3/10000)	59.320133	19.945	
(4/10000)	59.206919	17.835	
(5/10000)	82.801226	26.190	
(6/10000)	73.246016	22.255	
(7/10000)	58.591219	17.564	
(8/10000)	110.011456	31.493	
(9/10000)	64.821840	19.452	
(10/10000)	113.668490	33.056	
(11/10000)	61.367103	19.932	
(12/10000)	62.431023	20.286	
(13/10000)	88.883214	25.722	
(14/10000)	15.000000	3.987	ABORTED

========
[RUN] 2025-12-23 15:44:28  episodes=10000
[STATS] total_completed=14 | best_reward=120.829 | best_survival=36.45s
idx	reward	survival_sec	note
(1/10000)	77.395548	23.862	
(2/10000)	110.094775	32.518	
(3/10000)	60.185818	17.774	
(4/10000)	63.539701	19.334	
(5/10000)	62.200000	18.292	
(6/10000)	88.989805	31.401	
(7/10000)	77.040106	23.836	
(8/10000)	77.544230	22.430	
(9/10000)	54.397146	17.183	
(10/10000)	81.348915	24.283	
(11/10000)	84.286536	25.215	
(12/10000)	66.142037	21.221	
(13/10000)	71.995146	22.108	
(14/10000)	61.086804	19.727	
(15/10000)	59.781148	18.052	
(16/10000)	65.335631	20.704	
(17/10000)	75.448790	23.484	
(18/10000)	81.441385	24.937	
(19/10000)	73.784373	24.584	
(20/10000)	71.381772	21.718	
(21/10000)	83.200000	24.082	
(22/10000)	99.980816	29.072	
(23/10000)	67.164163	21.984	
(24/10000)	44.069263	16.848	
(25/10000)	88.675912	32.783	
(26/10000)	102.380944	29.366	
(27/10000)	71.726034	22.832	
(28/10000)	103.200000	29.642	
(29/10000)	62.904163	20.213	
(30/10000)	54.729535	18.779	
(31/10000)	105.060699	30.917	
(32/10000)	52.646074	17.663	
(33/10000)	-4.900000	1.412	
(34/10000)	0.000000	339.953	ABORTED

========
[RUN] 2025-12-23 16:07:56  episodes=10000
[STATS] total_completed=47 | best_reward=120.829 | best_survival=36.45s
idx	reward	survival_sec	note
(1/10000)	68.848187	21.075	
(2/10000)	101.315830	31.988	
(3/10000)	71.521585	21.747	
(4/10000)	83.088324	24.806	
(5/10000)	78.419889	23.422	
(6/10000)	110.668731	32.489	
(7/10000)	77.336391	23.998	
(8/10000)	65.465255	19.192	
(9/10000)	55.280176	19.026	
(10/10000)	105.466692	31.918	
(11/10000)	75.400000	23.146	
(12/10000)	83.793375	24.062	
(13/10000)	86.617134	26.457	
(14/10000)	84.430533	26.533	
(15/10000)	81.811590	24.924	
(16/10000)	59.265851	19.280	
(17/10000)	83.195077	24.523	
(18/10000)	64.547372	19.485	
(19/10000)	81.300000	23.331	
(20/10000)	107.183491	32.115	
(21/10000)	69.521352	21.507	
(22/10000)	98.338536	29.960	
(23/10000)	107.395772	31.707	
(24/10000)	43.409107	18.880	
(25/10000)	60.200000	18.832	
(26/10000)	70.787125	21.493	
(27/10000)	57.492702	19.868	
(28/10000)	80.923114	29.679	
(29/10000)	69.897269	21.829	
(30/10000)	78.258532	27.604	
(31/10000)	56.229163	17.539	
(32/10000)	68.733592	20.694	
(33/10000)	62.891288	19.636	
(34/10000)	50.630951	18.515	
(35/10000)	101.603708	29.538	
(36/10000)	82.491951	25.217	
(37/10000)	83.832097	26.695	
(38/10000)	71.134948	21.739	
(39/10000)	97.598232	29.128	
(40/10000)	67.519028	20.386	
(41/10000)	73.802494	23.281	
(42/10000)	85.322944	24.930	
(43/10000)	75.566351	25.565	
(44/10000)	60.954029	18.610	
(45/10000)	64.077623	21.842	
(46/10000)	79.742043	23.625	
(47/10000)	67.067183	20.301	
(48/10000)	66.973854	19.779	
(49/10000)	87.645464	25.536	
(50/10000)	91.849995	26.313	
(51/10000)	86.964083	26.659	
(52/10000)	67.400000	20.857	
(53/10000)	110.243979	32.700	
(54/10000)	79.296544	23.109	
(55/10000)	71.800000	20.869	
(56/10000)	95.192711	26.814	
(57/10000)	103.053725	29.563	
(58/10000)	84.600000	25.096	
(59/10000)	106.639324	30.979	
(60/10000)	78.700000	22.895	
(61/10000)	72.462836	21.273	
(62/10000)	86.185102	25.012	
(63/10000)	58.659053	19.229	
(64/10000)	75.771301	22.246	
(65/10000)	66.497238	20.746	
(66/10000)	77.357676	22.622	
(67/10000)	78.615379	24.003	
(68/10000)	110.787197	31.074	
(69/10000)	80.035048	23.419	
(70/10000)	86.860465	26.166	
(71/10000)	79.362828	23.355	
(72/10000)	86.892707	26.591	
(73/10000)	71.991534	20.856	
(74/10000)	69.703326	21.178	
